Code,Name,City,Slug,Lat,Long
BNE,Brisbane,Brisbane,bne,-27.384167,153.1175
HAN,Hanoi,Hanoi,han,21.221192,105.807178
GND,,,gnd,12.004247,-61.786192
TAB,Tobago,Tobago,tab,11.149658,-60.832194
BHD,Belfast George Best City Apt,Belfast,bhd,54.618056,-5.8725
EXT,Exeter (GB) 00,Exeter (GB) 00,ext,50.734444,-3.413889
SOU,Southampton,Southampton,sou,50.950261,-1.356803
BVC,Boa Vista Island,Boa Vista Island,bvc,16.136531,-22.888897
GCI,Guernsey,Guernsey,gci,49.434956,-2.601969
NWI,Norwich,Norwich,nwi,52.675833,1.282778
NQY,Newquay,Newquay,nqy,50.440558,-4.995408
POP,Puerto Plata,Puerto Plata,pop,19.7579,-70.570033
IAD,Washington Dulles International Apt,Washington,iad,38.944533,-77.455811
KTT,Kittila,Kittila,ktt,67.701022,24.84685
PUJ,Punta Cana,Punta Cana,puj,18.567367,-68.363431
GOI,Goa,Goa,goi,15.380833,73.831422
KHI,Karachi,Karachi,khi,24.906547,67.160797
VRA,Juan G Gomez Intl,Varadero,vra,23.034445,-81.435278
IVL,Ivalo,Ivalo,ivl,68.607269,27.405328
FDH,Friedrichshafen,Friedrichshafen,fdh,47.671317,9.511486
CMF,Chambery/Aix-Les-Bains,Chambery/Aix-Les-Bains,cmf,45.63805,5.880225
KAO,Kuusamo,Kuusamo,kao,65.987575,29.239381
LXR,Luxor,Luxor,lxr,25.671028,32.706583
PVR,Puerto Vallarta,Puerto Vallarta,pvr,20.680083,-105.254167
SFB,Orlando Sanford International Airport,Orlando,sfb,28.777639,-81.237489
PVK,Preveza/Lefkada,Preveza/Lefkada,pvk,38.925467,20.765311
YVR,Vancouver International Apt,Vancouver,yvr,49.193889,-123.184444
YYC,Calgary,Calgary,yyc,51.113888,-114.020278
BOJ,Burgas,Burgas,boj,42.569583,27.515236
VAR,Varna,Varna,var,43.232072,27.825106
MJT,Mytilini,Mytilini,mjt,39.056667,26.598333
LJU,Ljubljana,Ljubljana,lju,46.223686,14.457611
AUS,Austin-Bergstrom International Apt,Austin,aus,30.194528,-97.669889
MID,Merida,Merida,mid,20.936981,-89.657672
KVA,Kavala,Kavala,kva,40.913306,24.619223
PXO,Porto Santo,Porto Santo,pxo,33.073386,-16.349975
ANR,Antwerp,Antwerp,anr,51.189444,4.460278
